Lambda_anchor,kappa,target_c,s_Lambda,theta_turnover,effective_persistence,realized_delta_p,seed,window_start,Psi_meanI_state,Psi_meanI_state_z,Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_rho,Steady_State_Candidate,Lifted_Activation_Candidate,mean_active_state_variance,persistence_std,extinction_degenerate,saturation_degenerate,LowLow_Nondegenerate_Candidate,q_mean,q_var,mean_abs_perturbation,realized_churn_rate
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,31415,100,0.0057,6.4912,-0.0544,-5.4014,0.0018,0.0265,0.1186,0.4114,True,True,0.242,0.0469,False,False,False,0.4114,0.0312,0.0575,0.6211
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,42,0,0.0062,6.3354,-0.0523,-5.2522,0.0311,0.0847,1.0513,0.4037,False,True,0.2396,0.0465,False,False,False,0.4037,0.0307,0.0591,0.6387
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,42,25,0.0077,7.8974,-0.0459,-4.6558,0.004,0.0254,0.1428,0.406,True,True,0.2411,0.0461,False,False,False,0.406,0.031,0.0583,0.6369
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,42,50,0.0085,9.195,-0.0463,-4.6564,0.0067,0.0266,0.1427,0.4065,True,True,0.2411,0.0468,False,False,False,0.4065,0.031,0.0582,0.636
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,42,75,0.0083,8.164,-0.0572,-5.8429,0.0061,0.0241,0.118,0.4066,True,True,0.2412,0.0464,False,False,False,0.4066,0.031,0.0581,0.6356
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,42,100,0.0081,8.2082,-0.0497,-4.8308,0.0023,0.0258,0.119,0.4066,True,True,0.2412,0.0461,False,False,False,0.4066,0.0309,0.058,0.6376
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,137,0,0.0074,8.4658,-0.0512,-5.0811,0.0272,0.0855,1.0468,0.4039,False,True,0.2396,0.0451,False,False,False,0.4039,0.0307,0.0591,0.6392
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,137,25,0.0073,8.4034,-0.0508,-5.2258,0.0032,0.0272,0.1125,0.4054,True,True,0.2409,0.0456,False,False,False,0.4054,0.0308,0.0583,0.639
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,137,50,0.0078,8.2443,-0.0583,-5.9048,0.0031,0.0281,0.1126,0.4051,True,True,0.2409,0.0459,False,False,False,0.4051,0.0308,0.0583,0.6392
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,137,75,0.0079,8.499,-0.0528,-5.3215,0.0054,0.0275,0.1135,0.4054,True,True,0.2409,0.0454,False,False,False,0.4054,0.0308,0.0583,0.6397
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,137,100,0.0082,8.688,-0.0472,-4.5284,0.0012,0.0266,0.1136,0.4049,True,True,0.2408,0.0451,False,False,False,0.4049,0.0309,0.0585,0.6412
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,256,0,0.0065,6.8829,-0.04,-3.9025,0.0315,0.0867,1.0815,0.4046,False,True,0.2397,0.0439,False,False,False,0.4046,0.0307,0.059,0.6407
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,256,25,0.0061,6.5534,-0.0349,-3.5048,0.0066,0.0257,0.1152,0.4064,True,True,0.2411,0.0439,False,False,False,0.4064,0.0309,0.0581,0.6401
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,256,50,0.007,6.9878,-0.0336,-3.3389,0.014,0.0254,0.1155,0.4054,True,True,0.2409,0.0444,False,False,False,0.4054,0.031,0.0584,0.6406
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,256,75,0.0062,6.3849,-0.0462,-4.3534,0.0143,0.0275,0.1413,0.4049,True,True,0.2408,0.0455,False,False,False,0.4049,0.0309,0.0585,0.6403
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,256,100,0.0061,5.6412,-0.0536,-4.9811,0.0029,0.0277,0.1413,0.4047,True,True,0.2408,0.0465,False,False,False,0.4047,0.0309,0.0585,0.6395
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,1024,0,0.0067,6.7032,-0.0381,-3.8655,0.0252,0.0856,1.0816,0.4038,False,True,0.2396,0.0458,False,False,False,0.4038,0.0308,0.0592,0.6413
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,1024,25,0.0077,7.7326,-0.0386,-3.6375,0.001,0.022,0.0966,0.4059,True,True,0.2411,0.0459,False,False,False,0.4059,0.031,0.0583,0.6408
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,1024,50,0.0071,6.9023,-0.0417,-4.404,0.0066,0.0221,0.0927,0.4058,True,True,0.241,0.046,False,False,False,0.4058,0.0309,0.0582,0.6404
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,1024,75,0.0067,7.2258,-0.0466,-4.3827,0.0079,0.0236,0.1199,0.4069,True,True,0.2412,0.0457,False,False,False,0.4069,0.0309,0.0581,0.6397
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,1024,100,0.007,7.39,-0.0542,-5.1554,0.008,0.0241,0.125,0.4065,True,True,0.2412,0.0463,False,False,False,0.4065,0.0309,0.0581,0.6396
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,31415,0,0.0059,5.9032,-0.0408,-4.122,0.0367,0.0868,1.0857,0.4027,False,True,0.2393,0.045,False,False,False,0.4027,0.0306,0.0592,0.6415
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,31415,25,0.0072,7.3656,-0.0406,-3.797,0.0011,0.0223,0.1066,0.4053,True,True,0.2409,0.0456,False,False,False,0.4053,0.031,0.0584,0.6423
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,31415,50,0.0074,7.562,-0.052,-5.2904,0.0079,0.0244,0.1136,0.405,True,True,0.2409,0.0461,False,False,False,0.405,0.0311,0.0585,0.6419
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,31415,75,0.0073,7.6454,-0.0535,-5.7557,0.0038,0.0263,0.1284,0.4049,True,True,0.2408,0.0463,False,False,False,0.4049,0.0312,0.0586,0.6408
0.4,-0.7599,-0.35,0.4,0.1,0.36,-0.35,31415,100,0.0072,7.8995,-0.0519,-4.9645,0.0043,0.0276,0.1283,0.4051,True,True,0.2409,0.0458,False,False,False,0.4051,0.0312,0.0585,0.6408
0.4,-0.7599,-0.35,0.4,0.2,0.32,-0.35,42,0,0.0085,9.081,-0.0495,-5.0686,0.0305,0.0854,1.0737,0.3919,False,True,0.2372,0.0441,False,False,False,0.3919,0.0306,0.0612,0.6788
0.4,-0.7599,-0.35,0.4,0.2,0.32,-0.35,42,25,0.0097,10.1994,-0.0398,-4.1665,0.0024,0.0259,0.131,0.394,True,True,0.2387,0.0437,False,False,False,0.394,0.0309,0.0604,0.6772
0.4,-0.7599,-0.35,0.4,0.2,0.32,-0.35,42,50,0.0105,10.9027,-0.0401,-4.0147,0.0038,0.0274,0.1308,0.3944,True,True,0.2387,0.0441,False,False,False,0.3944,0.031,0.0604,0.6767
0.4,-0.7599,-0.35,0.4,0.2,0.32,-0.35,42,75,0.0104,10.5938,-0.0528,-5.2994,0.0072,0.026,0.1105,0.3944,True,True,0.2387,0.0441,False,False,False,0.3944,0.031,0.0604,0.6764
0.4,-0.7599,-0.35,0.4,0.2,0.32,-0.35,42,100,0.0107,10.3314,-0.0482,-4.7729,0.0006,0.0281,0.1228,0.3943,True,True,0.2387,0.0435,False,False,False,0.3943,0.0309,0.0603,0.6784
0.4,-0.7599,-0.35,0.4,0.2,0.32,-0.35,137,0,0.0108,12.0173,-0.0521,-5.237,0.0256,0.0877,1.0708,0.3918,False,True,0.2371,0.0431,False,False,False,0.3918,0.0307,0.0614,0.6794
0.4,-0.7599,-0.35,0.4,0.2,0.32,-0.35,137,25,0.0109,12.4979,-0.0511,-5.1854,0.0023,0.0299,0.117,0.3933,True,True,0.2385,0.0437,False,False,False,0.3933,0.0308,0.0606,0.6795
0.4,-0.7599,-0.35,0.4,0.2,0.32,-0.35,137,50,0.0111,11.8932,-0.055,-5.4652,0.0033,0.0304,0.114,0.393,True,True,0.2384,0.0439,False,False,False,0.393,0.0308,0.0606,0.6794
