run_id,block_idx,M_block,g_E_value,pre_bound_term,post_bound_term,Delta_j,bound_ratio,bound_active,realized_block_rho,raw_Psi_meanI_state_block,raw_Psi_persistence_I_block
R_E_bounded_kp0_7599_dp0_0518_s137,8,0.3641,-2.8997,-0.1503,-0.0515,0.0518,0.994,True,0.3592,0.0059,0.0647
R_E_bounded_kp0_7599_dp0_0518_s137,9,0.3592,-4.8739,-0.2526,-0.0518,0.0518,0.9999,True,0.3604,0.0079,0.089
R_E_bounded_kp0_7599_dp0_0518_s137,10,0.3604,-4.409,-0.2285,-0.0518,0.0518,0.9997,True,0.3622,0.0053,0.0856
R_E_bounded_kp0_7599_dp0_0518_s137,11,0.3622,-3.6894,-0.1912,-0.0518,0.0518,0.9988,True,0.3615,0.0061,0.0719
R_E_bounded_kp0_7599_dp0_0518_s137,12,0.3615,-3.9378,-0.2041,-0.0518,0.0518,0.9992,True,0.3625,0.0061,0.0757
R_E_bounded_kp0_7599_dp0_0518_s137,13,0.3625,-3.5493,-0.1839,-0.0517,0.0518,0.9983,True,0.3607,0.0074,0.0743
R_E_bounded_kp0_7599_dp0_0518_s137,14,0.3607,-4.2817,-0.2219,-0.0518,0.0518,0.9996,True,0.3636,0.0078,0.0625
R_E_bounded_kp0_7599_dp0_0518_s137,15,0.3636,-3.1162,-0.1615,-0.0516,0.0518,0.9961,True,0.3618,0.0081,0.0994
R_E_bounded_kp0_7599_dp0_0518_s256,0,0.3714,0.0,0.0,0.0,0.0518,0.0,False,0.3675,0.0083,0.0739
R_E_bounded_kp0_7599_dp0_0518_s256,1,0.3675,-1.575,-0.0816,-0.0476,0.0518,0.9178,True,0.3642,0.003,0.0595
R_E_bounded_kp0_7599_dp0_0518_s256,2,0.3642,-2.8678,-0.1486,-0.0515,0.0518,0.9936,True,0.3644,0.0045,0.0684
R_E_bounded_kp0_7599_dp0_0518_s256,3,0.3644,-2.7787,-0.144,-0.0514,0.0518,0.9923,True,0.3649,0.0083,0.0784
R_E_bounded_kp0_7599_dp0_0518_s256,4,0.3649,-2.5876,-0.1341,-0.0512,0.0518,0.9888,True,0.3627,0.0079,0.0765
R_E_bounded_kp0_7599_dp0_0518_s256,5,0.3627,-3.4601,-0.1793,-0.0517,0.0518,0.998,True,0.3573,0.0034,0.047
R_E_bounded_kp0_7599_dp0_0518_s256,6,0.3573,-5.6318,-0.2919,-0.0518,0.0518,1.0,True,0.362,0.0015,0.048
R_E_bounded_kp0_7599_dp0_0518_s256,7,0.362,-3.7403,-0.1938,-0.0518,0.0518,0.9989,True,0.3636,0.0056,0.0675
R_E_bounded_kp0_7599_dp0_0518_s256,8,0.3636,-3.1098,-0.1612,-0.0516,0.0518,0.996,True,0.3627,0.0091,0.0524
R_E_bounded_kp0_7599_dp0_0518_s256,9,0.3627,-3.4856,-0.1806,-0.0517,0.0518,0.9981,True,0.3645,0.0034,0.0967
R_E_bounded_kp0_7599_dp0_0518_s256,10,0.3645,-2.7532,-0.1427,-0.0514,0.0518,0.9919,True,0.3603,0.0066,0.0575
R_E_bounded_kp0_7599_dp0_0518_s256,11,0.3603,-4.4218,-0.2292,-0.0518,0.0518,0.9997,True,0.3611,0.0058,0.0532
R_E_bounded_kp0_7599_dp0_0518_s256,12,0.3611,-4.097,-0.2123,-0.0518,0.0518,0.9994,True,0.3626,0.0046,0.0806
R_E_bounded_kp0_7599_dp0_0518_s256,13,0.3626,-3.5111,-0.182,-0.0517,0.0518,0.9982,True,0.3577,0.0104,0.072
R_E_bounded_kp0_7599_dp0_0518_s256,14,0.3577,-5.4726,-0.2836,-0.0518,0.0518,1.0,True,0.3609,0.0029,0.073
R_E_bounded_kp0_7599_dp0_0518_s256,15,0.3609,-4.1925,-0.2173,-0.0518,0.0518,0.9995,True,0.3629,0.0063,0.0547
R_E_bounded_kp0_7599_dp0_0518_s1024,0,0.3714,0.0,0.0,0.0,0.0518,0.0,False,0.3676,0.004,0.0646
R_E_bounded_kp0_7599_dp0_0518_s1024,1,0.3676,-1.5368,-0.0796,-0.0472,0.0518,0.9116,True,0.363,0.0039,0.0618
R_E_bounded_kp0_7599_dp0_0518_s1024,2,0.363,-3.3518,-0.1737,-0.0517,0.0518,0.9976,True,0.3588,0.0057,0.0681
R_E_bounded_kp0_7599_dp0_0518_s1024,3,0.3588,-5.014,-0.2599,-0.0518,0.0518,0.9999,True,0.3606,0.0091,0.0741
R_E_bounded_kp0_7599_dp0_0518_s1024,4,0.3606,-4.3008,-0.2229,-0.0518,0.0518,0.9996,True,0.3611,0.0072,0.0543
R_E_bounded_kp0_7599_dp0_0518_s1024,5,0.3611,-4.1033,-0.2127,-0.0518,0.0518,0.9995,True,0.3626,0.0039,0.0586
R_E_bounded_kp0_7599_dp0_0518_s1024,6,0.3626,-3.5111,-0.182,-0.0517,0.0518,0.9982,True,0.3673,0.0047,0.0697
R_E_bounded_kp0_7599_dp0_0518_s1024,7,0.3673,-1.626,-0.0843,-0.048,0.0518,0.9255,True,0.3609,0.0075,0.0736
R_E_bounded_kp0_7599_dp0_0518_s1024,8,0.3609,-4.1925,-0.2173,-0.0518,0.0518,0.9995,True,0.3578,0.0064,0.0848
R_E_bounded_kp0_7599_dp0_0518_s1024,9,0.3578,-5.4089,-0.2803,-0.0518,0.0518,1.0,True,0.3628,0.0053,0.0572
R_E_bounded_kp0_7599_dp0_0518_s1024,10,0.3628,-3.4537,-0.179,-0.0517,0.0518,0.998,True,0.3604,0.0068,0.0694
R_E_bounded_kp0_7599_dp0_0518_s1024,11,0.3604,-4.3836,-0.2272,-0.0518,0.0518,0.9997,True,0.3606,0.0076,0.084
R_E_bounded_kp0_7599_dp0_0518_s1024,12,0.3606,-4.3071,-0.2232,-0.0518,0.0518,0.9996,True,0.3613,0.0042,0.0481
R_E_bounded_kp0_7599_dp0_0518_s1024,13,0.3613,-4.0397,-0.2094,-0.0518,0.0518,0.9994,True,0.3644,0.0041,0.0425
R_E_bounded_kp0_7599_dp0_0518_s1024,14,0.3644,-2.785,-0.1443,-0.0514,0.0518,0.9924,True,0.3658,0.0066,0.0674
R_E_bounded_kp0_7599_dp0_0518_s1024,15,0.3658,-2.2374,-0.116,-0.0507,0.0518,0.9775,True,0.3626,0.0059,0.0609
R_E_bounded_kp0_7599_dp0_0518_s31415,0,0.3714,0.0,0.0,0.0,0.0518,0.0,False,0.3612,0.0028,0.0683
R_E_bounded_kp0_7599_dp0_0518_s31415,1,0.3612,-4.0651,-0.2107,-0.0518,0.0518,0.9994,True,0.3613,0.0071,0.0649
R_E_bounded_kp0_7599_dp0_0518_s31415,2,0.3613,-4.0269,-0.2087,-0.0518,0.0518,0.9994,True,0.3618,0.006,0.0577
R_E_bounded_kp0_7599_dp0_0518_s31415,3,0.3618,-3.8359,-0.1988,-0.0518,0.0518,0.9991,True,0.3614,0.0063,0.0702
R_E_bounded_kp0_7599_dp0_0518_s31415,4,0.3614,-3.9823,-0.2064,-0.0518,0.0518,0.9993,True,0.3605,0.0045,0.0424
R_E_bounded_kp0_7599_dp0_0518_s31415,5,0.3605,-4.3453,-0.2252,-0.0518,0.0518,0.9997,True,0.3621,0.0082,0.0788
R_E_bounded_kp0_7599_dp0_0518_s31415,6,0.3621,-3.6957,-0.1915,-0.0518,0.0518,0.9988,True,0.3596,0.0045,0.0475
R_E_bounded_kp0_7599_dp0_0518_s31415,7,0.3596,-4.7147,-0.2443,-0.0518,0.0518,0.9998,True,0.3622,0.0021,0.056
R_E_bounded_kp0_7599_dp0_0518_s31415,8,0.3622,-3.6703,-0.1902,-0.0518,0.0518,0.9987,True,0.3602,0.0084,0.0634
