run_id,Tick,rho,Moran_I_Act_Instant,Moran_I_Psi_Instant_RefOnly
flight6_probe1_overcrowding_20x20,2540,0.085,[0.01960784],[0.17631345]
flight6_probe1_overcrowding_20x20,2550,0.085,[-0.01253616],[0.06882591]
flight6_probe1_overcrowding_20x20,2560,0.0825,[-0.0238626],[0.09190742]
flight6_probe1_overcrowding_20x20,2570,0.07,[-0.0656682],[0.04616864]
flight6_probe1_overcrowding_20x20,2580,0.0725,[-0.0316944],[0.12466333]
flight6_probe1_overcrowding_20x20,2590,0.075,[-1.20024111e-17],[0.05025126]
flight6_probe1_overcrowding_20x20,2600,0.0575,[0.0312536],[0.13207547]
flight6_probe1_overcrowding_20x20,2610,0.055,[0.02597403],[0.0625]
flight6_probe1_overcrowding_20x20,2620,0.06,[-0.00842199],[0.08088235]
flight6_probe1_overcrowding_20x20,2630,0.05,[0.01315789],[0.14601474]
flight6_probe1_overcrowding_20x20,2640,0.0975,[0.00561119],[0.09664592]
flight6_probe1_overcrowding_20x20,2650,0.035,[-0.01776462],[0.12580582]
flight6_probe1_overcrowding_20x20,2660,0.065,[-0.00781571],[0.06854839]
flight6_probe1_overcrowding_20x20,2670,0.0825,[0.00916522],[0.0234375]
flight6_probe1_overcrowding_20x20,2680,0.06,[0.00265957],[0.11184211]
flight6_probe1_overcrowding_20x20,2690,0.095,[0.01861006],[0.04429773]
flight6_probe1_overcrowding_20x20,2700,0.0775,[0.01215141],[0.09855769]
flight6_probe1_overcrowding_20x20,2710,0.0525,[-0.01771579],[0.05973451]
flight6_probe1_overcrowding_20x20,2720,0.085,[0.02764384],[0.18348624]
flight6_probe1_overcrowding_20x20,2730,0.0525,[-0.04284458],[0.20566971]
flight6_probe1_overcrowding_20x20,2740,0.05,[-0.01315789],[0.07104637]
flight6_probe1_overcrowding_20x20,2750,0.0625,[-0.00266667],[0.11813818]
flight6_probe1_overcrowding_20x20,2760,0.06,[0.00265957],[0.08826638]
flight6_probe1_overcrowding_20x20,2770,0.06,[-0.00842199],[0.12030831]
flight6_probe1_overcrowding_20x20,2780,0.08,[0.01494565],[0.05098039]
flight6_probe1_overcrowding_20x20,2790,0.05,[0.01315789],[0.08993576]
flight6_probe1_overcrowding_20x20,2800,0.0425,[0.00168945],[0.10482096]
flight6_probe1_overcrowding_20x20,2810,0.0975,[0.00561119],[0.10344335]
flight6_probe1_overcrowding_20x20,2820,0.0725,[-0.01310531],[0.1033475]
flight6_probe1_overcrowding_20x20,2830,0.0575,[-0.03794257],[0.11400869]
flight6_probe1_overcrowding_20x20,2840,0.045,[-0.01803374],[0.07287624]
flight6_probe1_overcrowding_20x20,2850,0.065,[0.01275195],[0.12060302]
flight6_probe1_overcrowding_20x20,2860,0.055,[-0.01010101],[0.08810119]
flight6_probe1_overcrowding_20x20,2870,0.075,[-0.01801802],[0.09011044]
flight6_probe1_overcrowding_20x20,2880,0.055,[-0.02212602],[0.10172372]
flight6_probe1_overcrowding_20x20,2890,0.06,[0.0248227],[0.08743169]
flight6_probe1_overcrowding_20x20,2900,0.0725,[0.00548378],[0.08675799]
flight6_probe1_overcrowding_20x20,2910,0.075,[-0.02702703],[0.0749253]
flight6_probe1_overcrowding_20x20,2920,0.0475,[-0.0360547],[0.13479053]
flight6_probe1_overcrowding_20x20,2930,0.06,[0.09131206],[0.14175368]
flight6_probe1_overcrowding_20x20,2940,0.06,[-0.01950355],[0.12552301]
flight6_probe1_overcrowding_20x20,2950,0.06,[0.01374113],[0.125]
flight6_probe1_overcrowding_20x20,2960,0.0725,[0.02407287],[0.12353923]
flight6_probe1_overcrowding_20x20,2970,0.0625,[0.01866667],[0.10079465]
flight6_probe1_overcrowding_20x20,2980,0.0875,[-0.0332681],[0.14334509]
flight6_probe1_overcrowding_20x20,2990,0.065,[0.05388729],[0.20023697]
